Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
265,Jackson St.,-9.62,88.1,97.7,68.4,0.111,-12.38,93.8,106.2,13.02,2021
266,Marist,-9.69,91.6,101.3,66.1,0.08199999999999999,-7.36,97.2,104.5,-13.45,2021
267,American,-9.74,96.5,106.2,67.4,0.065,-1.53,101.0,102.5,-99.0,2021
268,New Hampshire,-9.83,96.0,105.8,66.4,0.055999999999999994,-6.27,97.3,103.6,-4.42,2021
269,Southeast Missouri St.,-10.05,95.5,105.5,68.4,-0.003,-4.48,99.9,104.3,-0.5,2021
270,Georgia Southern,-10.11,94.1,104.2,66.6,0.032,-3.37,100.4,103.7,-1.33,2021
271,LIU,-10.34,93.4,103.7,73.7,-0.021,-9.13,98.2,107.4,-99.0,2021
272,North Dakota,-10.39,97.7,108.1,67.1,0.077,0.98,104.3,103.3,5.95,2021
273,North Alabama,-10.48,94.7,105.2,70.6,0.051,-4.68,100.6,105.3,2.8,2021
274,Western Michigan,-10.48,94.7,105.2,66.0,-0.036000000000000004,4.37,106.4,102.1,5.17,2021
275,Dartmouth,-10.7,94.8,105.5,66.6,0.0,-99.0,0.0,200.0,-99.0,2021
276,Bucknell,-10.71,97.3,108.0,71.8,-0.018000000000000002,-6.93,99.8,106.7,-99.0,2021
277,Florida A&M,-10.72,90.2,100.9,68.4,-0.011000000000000001,-6.24,98.8,105.0,13.05,2021
278,New Orleans,-10.73,97.3,108.1,72.4,-0.09300000000000001,-8.05,98.7,106.8,2.41,2021
279,Florida Gulf Coast,-10.92,93.5,104.4,70.6,0.07200000000000001,-6.14,99.0,105.1,-5.02,2021
280,Purdue Fort Wayne,-10.97,100.3,111.2,69.5,-0.025,-3.72,102.2,105.9,-19.28,2021
281,Central Michigan,-11.04,100.2,111.3,72.1,-0.046,1.08,103.7,102.6,-6.06,2021
282,UT Rio Grande Valley,-11.05,91.8,102.8,69.6,-0.05,-3.66,99.8,103.4,-1.17,2021
283,North Carolina A&T,-11.09,95.6,106.7,70.6,0.078,-4.98,97.8,102.8,2.87,2021
284,High Point,-11.2,96.1,107.3,66.1,-0.033,-4.75,99.8,104.6,0.18,2021
285,Quinnipiac,-11.21,89.6,100.8,72.0,-0.042,-7.27,97.6,104.9,-5.16,2021
286,Columbia,-11.25,94.7,105.9,68.9,0.0,-99.0,0.0,200.0,-99.0,2021
287,Merrimack,-11.37,90.7,102.1,66.5,0.013999999999999999,-9.01,98.6,107.6,-99.0,2021
288,Illinois Chicago,-11.42,93.1,104.5,68.2,0.05,-3.33,102.4,105.8,-1.09,2021
